Reference,Qty,Value,min,Actual,Source,Footprint,Datasheet
BT1,1,3,30,32,digi,Library:BatteryHolder_uxcell_CR2450,~
"C1,C2",2,2.2uF,60,70,digi,Capacitor_SMD:C_0805_2012Metric,~
"D1,D2,D3",3,GRN,90,100,amazon,LED_THT:LED_D3.0mm,~
"D4,D5,D6",3,RED,90,100,amazon,LED_THT:LED_D3.0mm,~
"Q1,Q2",2,NPN,60,50,digi,Package_TO_SOT_THT:TO-92_Inline_Wide,https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_BJTs
"R1,R2,R3",3,6.8K,90,100,digi,Resistor_SMD:R_0805_2012Metric,~
"R4,R5,R6",3,1K,90,100,digi,Resistor_SMD:R_0805_2012Metric,~
"R7,R9,R13,R14",4,100K,120,100,digi,Resistor_SMD:R_0805_2012Metric,~
R8,1,33K,30,40,digi,Resistor_SMD:R_0805_2012Metric,~
"R10,R11",2,18K,60,70,digi,Resistor_SMD:R_0805_2012Metric,~
"R12,R16",2,10K,60,70,digi,Resistor_SMD:R_0805_2012Metric,~
"R15,R17,R18",3,47K,90,100,digi,Resistor_SMD:R_0805_2012Metric,~
"SW1,SW2,SW3",3,SW_SPST,90,,stock,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~
U1,1,LMV358,30,35,digi,Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,http://www.ti.com/lit/ds/symlink/lmv324.pdf
