time;I(VBT1);V(+3V0);V(/Green_Signal);V(/Red_Signal);
30.0007;0.00101519;3;0.977093;-0.0933971;
30.0017;0.00480624;3;0.977124;-0.103155;
30.0027;0.00101395;3;0.977094;-0.0933979;
30.0037;0.0048049;3;0.977125;-0.103155;
30.0047;0.00101252;3;0.977094;-0.0933987;
30.0057;0.00480336;3;0.977125;-0.103156;
30.0067;0.00101088;3;0.977095;-0.0933995;
30.0077;0.0048016;3;0.977126;-0.103157;
30.0087;0.001009;3;0.977095;-0.0934003;
30.0097;0.00479958;3;0.977126;-0.103158;
30.0107;0.00100685;3;0.977096;-0.0934011;
30.0117;0.00479727;3;0.977127;-0.103158;
30.0127;0.00100438;3;0.977096;-0.0934018;
30.0137;0.00479464;3;0.977128;-0.103159;
30.0147;0.00100158;3;0.977097;-0.0934025;
30.0157;0.00479163;3;0.977128;-0.103159;
30.0167;0.000998375;3;0.977097;-0.0934032;
30.0177;0.00478821;3;0.977129;-0.10316;
30.0187;0.000994732;3;0.977098;-0.0934039;
30.0197;0.00478432;3;0.977129;-0.103161;
30.0207;0.000990591;3;0.977098;-0.0934046;
30.0217;0.0047799;3;0.977129;-0.103161;
30.0227;0.000985891;3;0.977099;-0.0934052;
30.0237;0.00477489;3;0.97713;-0.103162;
30.0247;0.000980565;3;0.977099;-0.0934059;
30.0257;0.00476922;3;0.97713;-0.103162;
30.0267;0.000974537;3;0.9771;-0.0934065;
30.0277;0.0047628;3;0.977131;-0.103163;
30.0287;0.000967725;3;0.9771;-0.093407;
30.0297;0.00475556;3;0.977131;-0.103163;
30.0307;0.000960038;3;0.9771;-0.0934076;
30.0317;0.00474739;3;0.977132;-0.103164;
30.0327;0.000951376;3;0.977101;-0.0934081;
30.0337;0.0047382;3;0.977132;-0.103164;
30.0347;0.000941631;3;0.977101;-0.0934085;
30.0357;0.00472786;3;0.977133;-0.103164;
30.0367;0.000930683;3;0.977101;-0.093409;
30.0377;0.00471626;3;0.977133;-0.103165;
30.0387;0.000918403;3;0.977101;-0.0934094;
30.0397;0.00470326;3;0.977133;-0.103165;
30.0407;0.00090465;3;0.977101;-0.0934097;
30.0417;0.00468871;3;0.977134;-0.103165;
30.0427;0.000889272;3;0.977102;-0.09341;
30.0437;0.00467245;3;0.977134;-0.103166;
30.0447;0.000872107;3;0.977102;-0.0934103;
30.0457;0.00465432;3;0.977134;-0.103166;
30.0467;0.000852977;3;0.977102;-0.0934104;
30.0477;0.00463413;3;0.977134;-0.103166;
30.0487;0.000831696;3;0.977102;-0.0934106;
30.0497;0.0046117;3;0.977134;-0.103166;
30.0507;0.000808064;3;0.977102;-0.0934106;
30.0517;0.00458681;3;0.977135;-0.103166;
30.0527;0.000781869;3;0.977102;-0.0934106;
30.0537;0.00455925;3;0.977135;-0.103166;
30.0547;0.000752887;3;0.977101;-0.0934105;
30.0557;0.00452878;3;0.977135;-0.103165;
30.0567;0.000720888;3;0.977101;-0.0934104;
30.0577;0.00449518;3;0.977135;-0.103165;
30.0587;0.000685627;3;0.977101;-0.0934101;
30.0597;0.0044582;3;0.977135;-0.103165;
30.0607;0.000646855;3;0.9771;-0.0934097;
30.0617;0.00441758;3;0.977135;-0.103164;
30.0627;0.000604316;3;0.9771;-0.0934092;
30.0637;0.00437306;3;0.977135;-0.103164;
30.0647;0.000557752;3;0.977099;-0.0934086;
30.0657;0.00432439;3;0.977135;-0.103163;
30.0667;0.000506902;3;0.977098;-0.0934079;
30.0677;0.00427131;3;0.977135;-0.103162;
30.0687;0.000451511;3;0.977097;-0.093407;
30.0697;0.00421357;3;0.977135;-0.103161;
30.0707;0.000391328;3;0.977096;-0.093406;
30.0717;0.00415092;3;0.977135;-0.10316;
30.0727;0.000326105;3;0.977094;-0.0934048;
30.0737;0.00408313;3;0.977135;-0.103158;
30.0747;0.000255636;3;0.977092;-0.0934035;
30.0757;0.00400998;3;0.977135;-0.103157;
30.0767;0.000179711;3;0.97709;-0.0934019;
30.0777;0.0039313;3;0.977134;-0.103155;
30.0787;9.81547e-05;3;0.977087;-0.0934002;
30.0797;0.00384693;3;0.977134;-0.103153;
30.0807;1.08232e-05;3;0.977085;-0.0933982;
30.0817;0.00375673;3;0.977134;-0.103151;
30.0827;-8.23897e-05;3;0.977081;-0.093396;
30.0837;0.00366064;3;0.977133;-0.103149;
30.0847;-0.000181548;3;0.977077;-0.0933935;
30.0857;0.0035586;3;0.977132;-0.103146;
30.0867;-0.000286681;3;0.977072;-0.0933907;
30.0877;0.00345065;3;0.977132;-0.103143;
30.0887;-0.00039774;3;0.977065;-0.0933877;
30.0897;0.00333684;3;0.977131;-0.10314;
30.0907;-0.000514651;3;0.977057;-0.0933843;
30.0917;0.00321732;3;0.97713;-0.103136;
30.0927;-0.000637296;3;0.977045;-0.0933806;
30.0937;0.00309227;3;0.977129;-0.103132;
30.0947;-0.000765557;3;0.977027;-0.0933765;
30.0957;0.00296195;3;0.977128;-0.103128;
30.0967;-0.000899555;3;0.976989;-0.093372;
30.0977;0.00282667;3;0.977127;-0.103123;
30.0978;0.000922174;3;0.977103;-0.0982461;
30.0981;0.000904876;3;0.977103;-0.0982454;
30.0984;0.000882424;3;0.977102;-0.0982446;
30.0987;0.000858726;3;0.977101;-0.0982437;
30.0994;0.000810981;3;0.9771;-0.098242;
30.1004;0.000739704;3;0.977099;-0.0982392;
30.1014;0.000667446;3;0.977097;-0.0982364;
30.1024;0.000594229;3;0.977095;-0.0982333;
30.1034;0.000520155;3;0.977092;-0.0982303;
